Date,High,Low,Last,Bid,Ask,Volume,VWAP
2021-02-16,49048.82,45914.75,47916.37,47916.37,47954.07,6923.99131365,47515.74
2021-02-15,49714.66,47081.02,48620.48,48619.74,48636.66,5202.1159256,48746.36
2021-02-14,48220.0,46133.0,47228.48,47222.44,47231.75,4271.62506482,47122.31
2021-02-13,49000.0,46231.16,47423.9,47432.19,47464.13,5970.51663253,47548.56
2021-02-12,48696.84,44040.96,48015.79,48005.38,48061.67,9390.55569805,46872.75
2021-02-11,47364.09,43746.06,44854.75,44872.42,44878.49,9483.97974475,45554.57
2021-02-10,48216.09,45000.0,46515.89,46483.81,46493.9,12504.33546573,46705.29
2021-02-09,46712.12,38050.97,46500.0,46474.45,46500.0,19054.46565936,43069.43
2021-02-08,39727.44,37412.93,38858.39,38873.88,38885.43,5973.22744405,38571.43
2021-02-07,41025.48,38230.81,39274.8,39258.95,39274.81,8625.25380652,39837.72
2021-02-06,38359.69,36618.36,38320.0,38317.24,38320.0,5227.24925,37731.06
2021-02-05,38748.52,36197.65,36984.28,36957.03,36981.68,11762.81054811,37458.44
2021-02-04,37732.87,35382.45,37701.96,37681.32,37702.6,8777.1738755,36640.07
2021-02-03,36008.67,33431.67,35494.17,35496.69,35507.71,7225.86059349,34861.09
2021-02-02,34736.1,32333.01,33532.74,33501.47,33518.44,8374.05662032,33790.99
2021-02-01,34380.21,32193.7,33141.38,33117.41,33131.69,4750.12315608,33299.68
2021-01-31,34931.39,32860.0,34323.0,34301.96,34318.18,7281.27166632,33988.36
2021-01-30,38620.0,31990.0,34265.71,34242.84,34276.08,31437.75548772,35574.28
2021-01-29,33870.58,29899.99,33472.89,33472.89,33488.26,17879.91133994,31973.23
2021-01-28,32580.12,29150.49,30427.34,30421.13,30457.41,22403.72691376,30809.66
2021-01-27,32953.28,30847.4,32504.53,32507.83,32521.55,11553.46312043,31995.05
2021-01-26,34888.0,31939.12,32259.62,32227.85,32247.93,10040.20336161,33485.59
2021-01-25,33075.75,30960.77,32288.83,32291.75,32312.26,4658.47562563,32091.71
2021-01-24,33468.46,31426.11,32098.38,32095.88,32114.63,5255.87962134,32331.63
2021-01-23,33864.85,28800.0,32989.33,32969.23,32991.35,17019.68369732,31363.65
2021-01-22,35620.96,30044.16,30818.18,30820.74,30842.49,21214.01236919,32321.85
2021-01-21,36440.1,33400.0,35521.59,35501.9,35521.59,12157.10789618,34861.65
2021-01-20,37874.71,35879.35,35897.35,35879.35,35907.0,6582.84677658,36920.92
2021-01-19,37449.86,34777.85,36616.95,36642.95,36665.92,6251.1632114,36132.14
2021-01-18,36839.0,33833.55,35826.36,35799.72,35826.36,6821.69943255,35389.12
2021-01-17,37944.12,35350.0,36013.51,35983.98,36013.51,7688.58411426,36797.54
2021-01-16,39694.0,34380.0,36778.66,36759.27,36805.13,13498.08363956,36803.79
2021-01-15,40112.78,36717.23,39169.92,39139.75,39185.08,10924.59608504,38606.84
2021-01-14,37800.0,32327.76,37393.49,37362.08,37393.39,13662.25679297,34751.05
2021-01-13,36639.23,32479.91,34006.95,34000.18,34031.71,18267.92214774,34778.51
2021-01-12,38261.39,30261.13,35449.71,35438.68,35472.72,40786.93301289,33575.27
2021-01-11,41450.0,34322.07,38144.0,38144.12,38195.99,16217.76560419,38553.66
2021-01-10,41422.77,38788.16,40262.0,40238.68,40262.0,8536.91801621,40348.26
2021-01-09,42000.0,36618.36,40701.16,40687.21,40702.24,22184.09175825,39991.03
2021-01-08,40402.46,36327.5,39529.01,39518.29,39531.59,23101.43319424,38299.4
2021-01-07,37050.83,33348.27,36902.9,36861.87,36902.9,19220.24188972,34979.54
2021-01-06,34500.0,29936.26,34039.05,34057.15,34073.46,14805.72928557,32341.59
2021-01-05,33669.76,27734.0,32054.23,32030.21,32054.23,22447.7072271,31099.88
2021-01-04,34800.0,31977.45,33097.83,33052.83,33107.12,14160.5812801,33463.99
2021-01-03,33333.0,29050.0,32216.53,32183.3,32214.97,17867.80502704,31348.56
2021-01-02,29700.0,28720.0,29410.77,29402.64,29410.77,8781.50351314,29279.02
2021-01-01,29300.0,27930.75,28999.63,28966.95,28994.91,9477.71253101,28819.11
2020-12-31,29010.32,27328.37,28881.3,28878.84,28893.21,11741.66398595,28179.82
2020-12-30,27395.0,25831.85,27392.36,27369.48,27392.36,9576.90262001,26654.1
2020-12-29,27473.49,26079.6,27037.9,27032.55,27037.9,7986.47422642,26962.8
2020-12-28,28377.94,25770.0,26242.81,26229.8,26252.81,13234.88163128,27081.19
2020-12-27,26809.5,24485.32,26472.89,26459.66,26479.49,7491.48731633,25613.82
2020-12-26,24777.0,23403.82,24714.01,24695.3,24718.17,6469.2355025,24133.91
2020-12-25,23779.14,22700.1,23726.28,23723.55,23740.21,7185.48205493,23206.16
2020-12-24,24096.9,22624.92,23247.71,23213.14,23231.69,11541.96937133,23488.62
2020-12-23,23843.21,22383.59,23835.1,23815.37,23829.88,9367.60948339,23142.18
2020-12-22,24123.83,21864.86,22732.01,22726.73,22741.58,12675.06535836,23029.26
2020-12-21,24298.04,23092.77,23470.85,23470.0,23479.31,5096.02530046,23607.38
2020-12-20,24217.38,22719.78,23842.99,23836.04,23851.81,8672.0376961,23490.41
2020-12-19,23284.68,22360.93,23136.14,23139.24,23142.05,11359.90990442,22874.88
2020-12-18,23777.0,21244.04,22811.79,22821.08,22826.27,22627.06557963,22781.35
2020-12-17,21576.76,19277.66,21358.96,21352.33,21367.19,14973.62037277,20395.37
2020-12-16,19567.84,19050.0,19432.08,19434.22,19442.08,6750.74580139,19341.81
2020-12-15,19346.9,18979.21,19275.32,19268.94,19275.32,3619.40372837,19167.0
2020-12-14,19416.64,18628.1,19162.36,19151.82,19156.95,4251.84121032,19139.1
2020-12-13,18956.46,18022.55,18806.83,18805.73,18815.49,3515.19227488,18505.41
2020-12-12,18290.43,17569.58,18039.38,18030.38,18041.31,6687.89237457,17897.42
2020-12-11,18562.13,17908.0,18257.45,18253.78,18257.45,6781.52665053,18256.04
2020-12-10,18654.92,17640.33,18546.34,18542.85,18552.49,8906.94460193,18237.32
2020-12-09,19300.55,18163.52,18303.23,18303.23,18313.05,5981.84016669,18799.27
2020-12-08,19431.0,18905.0,19173.5,19173.5,19183.13,4323.27044132,19178.67
2020-12-07,19418.39,18870.62,19380.58,19367.0,19383.43,2503.4293029,19161.79
2020-12-06,19185.17,18500.0,19162.34,19150.14,19163.95,2376.59038359,18975.55
2020-12-05,19552.5,18573.89,18650.08,18636.94,18656.03,6261.77154357,19055.63
2020-12-04,19621.0,18881.62,19439.94,19439.94,19447.98,6196.60559968,19317.05
2020-12-03,19346.9,18334.0,19220.09,19208.67,19220.09,6749.36649198,18933.33
2020-12-02,19918.01,18100.0,18771.43,18773.2,18785.41,11799.58943351,19131.62
2020-12-01,19864.15,18207.12,19700.19,19703.53,19714.75,10611.29442999,19114.53
2020-11-30,18352.47,17534.87,18192.03,18194.28,18196.75,3736.1591794,18038.28
2020-11-29,17896.03,16875.01,17741.79,17728.25,17737.49,4471.52202455,17411.32
2020-11-28,17471.89,16435.47,17154.39,17146.55,17156.24,8964.82691127,16941.5
2020-11-27,18911.04,16218.0,17168.31,17168.31,17170.24,21424.96823532,17151.05
2020-11-26,19490.0,18470.91,18727.26,18715.21,18724.46,8962.64609459,19053.63
2020-11-25,19442.13,18068.56,19160.85,19166.91,19179.2,13262.83116668,18940.47
2020-11-24,18786.31,18001.95,18386.92,18382.19,18386.92,9411.46795169,18443.06
2020-11-23,18770.55,17600.0,18439.2,18433.02,18440.85,6417.27538793,18291.81
2020-11-22,18977.0,18333.45,18727.94,18717.22,18726.19,5937.90732028,18710.4
2020-11-21,18824.88,17755.81,18685.08,18674.71,18681.69,10018.27253788,18370.15
2020-11-20,18189.97,17346.62,17819.37,17817.05,17819.42,10507.65224985,17792.16
2020-11-19,18483.0,17041.47,17785.95,17783.71,17792.96,15717.75959873,17874.21
2020-11-18,17868.0,16570.0,17681.77,17670.67,17680.5,9824.89965153,17260.21
2020-11-17,16894.93,15875.5,16724.62,16719.84,16729.63,7511.14360536,16409.99
2020-11-16,16170.0,15786.46,15975.49,15969.41,15973.22,3226.27656509,15979.39
2020-11-15,16341.89,15715.1,16086.34,16087.77,16094.81,5046.32670498,15982.98
2020-11-14,16494.52,15970.33,16335.58,16335.58,16339.27,7842.48882564,16279.18
2020-11-13,16369.99,15481.0,16300.0,16297.91,16300.0,16261.20657883,15939.46
2020-11-12,15991.01,15290.85,15702.0,15696.48,15703.4,10014.26427187,15652.52
2020-11-11,15482.76,15092.47,15313.65,15313.87,15317.81,8966.48171393,15325.34
2020-11-10,15854.48,14824.66,15332.04,15335.5,15348.95,14466.07953692,15364.34
2020-11-09,15664.9,14727.19,15489.15,15480.45,15490.09,5046.49916395,15255.08
2020-11-08,15778.6,14351.0,14838.97,14832.01,14842.7,10933.92419186,15076.99
2020-11-07,15968.98,15196.01,15598.09,15598.1,15603.23,13479.46706771,15570.55
2020-11-06,15770.58,14100.0,15605.04,15603.49,15608.32,18422.63186045,14937.25
2020-11-05,14277.5,13520.87,14160.59,14162.68,14171.73,10925.67680544,13908.16
2020-11-04,14083.76,13287.7,14041.58,14030.89,14041.58,7226.51635614,13633.01
2020-11-03,13842.5,13220.0,13563.72,13570.69,13578.98,7062.70471185,13545.15
2020-11-01,13907.47,13629.31,13711.21,13700.59,13711.21,2465.7950167,13766.72
2020-10-31,14100.0,13420.97,13879.14,13878.39,13887.22,6394.17301609,13762.1
2020-10-30,13675.56,13129.26,13577.6,13572.18,13581.82,8980.67163107,13404.59
2020-10-29,13650.0,12993.0,13411.86,13413.35,13416.39,8948.1973808,13318.04
2020-10-28,13864.89,12892.0,13268.75,13266.45,13268.75,10964.07003436,13387.44
2020-10-27,13760.0,13044.88,13731.68,13731.68,13736.95,10931.67010115,13429.61
2020-10-26,13250.0,12773.5,13051.53,13053.14,13057.59,5639.49583252,13062.28
2020-10-25,13363.53,12903.74,13016.05,13015.48,13021.84,3607.29412796,13078.77
2020-10-24,13182.83,12887.38,13080.67,13082.34,13087.37,2909.62707035,13048.78
2020-10-23,13069.03,12729.82,12955.0,12949.5,12955.0,5070.23579325,12917.1
2020-10-22,13235.0,12686.73,13019.12,13007.79,13022.78,10878.06543427,12951.96
2020-10-21,13224.1,11899.1,13224.1,13219.28,13224.1,18448.25158316,12548.31
2020-10-20,12059.94,11680.0,11966.85,11963.68,11970.78,5759.40054466,11876.87
2020-10-19,11840.0,11409.94,11742.63,11740.8,11744.1,5634.94342047,11651.92
2020-10-18,11500.0,11341.55,11468.46,11462.61,11466.98,836.39097917,11433.35
2020-10-17,11415.48,11264.01,11343.33,11343.34,11350.21,1142.49759921,11340.44
2020-10-16,11548.65,11200.0,11351.75,11351.86,11355.32,4381.89502191,11339.34
2020-10-15,11623.6,11250.01,11484.49,11484.13,11488.91,4804.96936807,11411.54
