"Date","Price","Open","High","Low","Change %"
"Mar 15, 2021","130.16","130.35","130.51","129.97","-0.09%"
"Mar 12, 2021","130.28","130.02","130.41","129.80","0.21%"
"Mar 11, 2021","130.01","129.28","130.07","129.23","0.61%"
"Mar 10, 2021","129.22","129.09","129.45","129.01","0.13%"
"Mar 09, 2021","129.05","128.99","129.57","128.92","0.10%"
"Mar 08, 2021","128.92","129.15","129.41","128.77","-0.15%"
"Mar 05, 2021","129.11","129.23","129.60","128.85","-0.07%"
"Mar 04, 2021","129.20","129.09","129.66","128.90","0.12%"
"Mar 03, 2021","129.05","128.99","129.48","128.73","0.08%"
"Mar 02, 2021","128.95","128.64","129.10","128.16","0.27%"
"Mar 01, 2021","128.60","128.73","128.96","128.20","-0.06%"
"Feb 26, 2021","128.68","129.35","129.56","128.55","-0.49%"
"Feb 25, 2021","129.32","128.80","129.99","128.75","0.45%"
"Feb 24, 2021","128.74","127.88","128.90","127.75","0.69%"
"Feb 23, 2021","127.86","127.73","128.08","127.64","0.13%"
"Feb 22, 2021","127.69","127.73","128.26","127.46","-0.05%"
"Feb 19, 2021","127.75","127.79","128.21","127.64","0.02%"
"Feb 18, 2021","127.72","127.45","127.83","127.32","0.24%"
"Feb 17, 2021","127.42","128.38","128.47","127.29","-0.73%"
"Feb 16, 2021","128.36","127.81","128.40","127.72","0.45%"
"Feb 15, 2021","127.78","127.25","127.99","127.19","0.50%"
"Feb 12, 2021","127.15","127.05","127.33","126.97","0.10%"
"Feb 11, 2021","127.02","126.75","127.18","126.68","0.25%"
"Feb 10, 2021","126.70","126.76","127.09","126.63","-0.01%"
"Feb 09, 2021","126.71","126.78","126.89","126.42","-0.05%"
"Feb 08, 2021","126.77","126.93","127.15","126.63","-0.08%"
"Feb 05, 2021","126.87","126.24","127.02","126.14","0.49%"
"Feb 04, 2021","126.25","126.39","126.49","126.09","-0.09%"
"Feb 03, 2021","126.36","126.43","126.54","126.12","-0.02%"
"Feb 02, 2021","126.39","126.53","126.85","126.24","-0.09%"
"Feb 01, 2021","126.51","127.07","127.24","126.50","-0.42%"
"Jan 29, 2021","127.04","126.36","127.36","126.29","0.58%"
"Jan 28, 2021","126.31","126.07","126.69","125.96","0.21%"
"Jan 27, 2021","126.05","126.00","126.23","125.57","0.07%"
"Jan 26, 2021","125.96","125.93","126.18","125.68","0.05%"
"Jan 25, 2021","125.90","126.31","126.40","125.79","-0.29%"
"Jan 22, 2021","126.26","125.90","126.44","125.84","0.32%"
"Jan 21, 2021","125.86","125.35","125.99","125.29","0.45%"
"Jan 20, 2021","125.30","126.01","126.20","125.25","-0.54%"
"Jan 19, 2021","125.98","125.25","126.23","125.18","0.61%"
"Jan 18, 2021","125.22","125.54","125.56","125.07","-0.18%"
"Jan 15, 2021","125.45","126.17","126.23","125.39","-0.57%"
"Jan 14, 2021","126.17","126.31","126.54","125.92","-0.06%"
"Jan 13, 2021","126.25","126.68","126.74","126.19","-0.30%"
"Jan 12, 2021","126.63","126.68","126.89","126.53","-0.02%"
"Jan 11, 2021","126.65","126.99","127.11","126.54","-0.26%"
"Jan 08, 2021","126.98","127.41","127.48","126.80","-0.30%"
"Jan 07, 2021","127.36","127.03","127.51","126.90","0.28%"
"Jan 06, 2021","127.00","126.30","127.25","126.13","0.57%"
"Jan 05, 2021","126.28","126.32","126.58","126.04","0.00%"
"Jan 04, 2021","126.28","126.24","126.82","126.09","0.46%"
"Jan 01, 2021","125.70","125.67","125.92","125.24","-0.28%"
"Dec 31, 2020","126.06","126.83","126.99","126.06","-0.63%"
"Dec 30, 2020","126.85","126.86","127.15","126.45","0.02%"
"Dec 29, 2020","126.83","126.81","127.20","126.64","0.05%"
"Dec 28, 2020","126.77","126.29","126.98","126.04","0.38%"
"Dec 25, 2020","126.29","126.31","126.44","125.87","0.02%"
"Dec 24, 2020","126.27","126.22","126.53","126.14","0.07%"
"Dec 23, 2020","126.18","126.06","126.42","125.92","0.13%"
"Dec 22, 2020","126.02","126.50","126.68","125.99","-0.34%"
"Dec 21, 2020","126.45","126.46","126.63","125.90","-0.13%"
"Dec 18, 2020","126.61","126.51","127.04","126.36","0.12%"
"Dec 17, 2020","126.46","126.25","126.54","126.00","0.20%"
"Dec 16, 2020","126.21","125.99","126.37","125.71","0.20%"
"Dec 15, 2020","125.96","126.36","126.61","125.93","-0.28%"
"Dec 14, 2020","126.32","126.18","126.54","125.91","0.28%"
"Dec 11, 2020","125.97","126.50","126.64","125.78","-0.39%"
"Dec 10, 2020","126.46","125.93","126.76","125.85","0.45%"
"Dec 09, 2020","125.89","126.07","126.54","125.77","-0.11%"
"Dec 08, 2020","126.03","126.01","126.29","125.84","0.05%"
"Dec 07, 2020","125.97","126.29","126.51","125.95","-0.20%"
"Dec 04, 2020","126.22","126.11","126.71","126.03","0.12%"
"Dec 03, 2020","126.07","126.50","126.68","126.01","-0.31%"
"Dec 02, 2020","126.46","125.92","126.58","125.76","0.45%"
"Dec 01, 2020","125.89","124.45","125.99","124.38","1.22%"
"Nov 30, 2020","124.37","124.43","125.15","124.26","-0.12%"
"Nov 27, 2020","124.52","124.20","124.57","123.88","0.27%"
"Nov 26, 2020","124.18","124.46","124.60","123.89","-0.20%"
"Nov 25, 2020","124.43","124.18","124.54","124.13","0.21%"
"Nov 24, 2020","124.17","123.82","124.39","123.65","0.32%"
"Nov 23, 2020","123.78","123.14","123.85","122.96","0.56%"
"Nov 20, 2020","123.09","123.18","123.50","122.99","-0.05%"
"Nov 19, 2020","123.15","123.06","123.35","122.83","0.07%"
"Nov 18, 2020","123.06","123.61","123.69","123.00","-0.40%"
"Nov 17, 2020","123.56","123.97","124.04","123.50","-0.30%"
"Nov 16, 2020","123.93","123.76","124.47","123.61","0.11%"
"Nov 13, 2020","123.79","124.12","124.33","123.65","-0.25%"
"Nov 12, 2020","124.10","124.17","124.53","123.67","-0.04%"
"Nov 11, 2020","124.15","124.36","124.70","123.90","-0.18%"
"Nov 10, 2020","124.38","124.48","124.64","123.96","-0.05%"
"Nov 09, 2020","124.44","122.78","125.17","122.68","1.44%"
"Nov 06, 2020","122.67","122.40","123.01","122.21","0.22%"
"Nov 05, 2020","122.40","122.59","123.20","122.19","-0.07%"
"Nov 04, 2020","122.49","122.39","123.10","121.96","0.13%"
"Nov 03, 2020","122.33","121.89","122.79","121.81","0.38%"
"Nov 02, 2020","121.87","122.01","122.18","121.69","0.00%"
"Oct 30, 2020","121.87","122.16","122.47","121.60","-0.20%"
"Oct 29, 2020","122.12","122.51","122.89","121.88","-0.33%"
"Oct 28, 2020","122.52","123.18","123.23","122.17","-0.50%"
"Oct 27, 2020","123.14","123.80","124.03","123.14","-0.51%"
"Oct 26, 2020","123.77","124.21","124.24","123.76","-0.31%"
"Oct 23, 2020","124.15","123.89","124.29","123.39","0.23%"
"Oct 22, 2020","123.87","124.04","124.11","123.64","-0.11%"
"Oct 21, 2020","124.01","124.73","124.87","123.89","-0.55%"
"Oct 20, 2020","124.69","124.07","125.03","124.00","0.52%"
"Oct 19, 2020","124.04","123.57","124.36","123.35","0.43%"
"Oct 16, 2020","123.51","123.47","123.74","123.11","0.06%"
"Oct 15, 2020","123.43","123.50","123.79","123.00","-0.06%"
"Oct 14, 2020","123.51","123.92","123.97","123.45","-0.27%"
"Oct 13, 2020","123.85","124.44","124.50","123.79","-0.43%"
"Oct 12, 2020","124.39","124.90","125.17","124.27","-0.37%"
"Oct 09, 2020","124.85","124.68","125.11","124.50","0.16%"
"Oct 08, 2020","124.65","124.64","124.90","124.35","0.03%"
"Oct 07, 2020","124.61","123.95","124.90","123.85","0.56%"
"Oct 06, 2020","123.91","124.59","124.75","123.84","-0.51%"
"Oct 05, 2020","124.55","123.40","124.74","123.29","0.97%"
"Oct 02, 2020","123.35","123.98","124.04","123.00","-0.47%"
"Oct 01, 2020","123.93","123.61","124.23","123.56","0.33%"
"Sep 30, 2020","123.52","124.07","124.27","123.51","-0.42%"
"Sep 29, 2020","124.04","123.08","124.14","123.01","0.81%"
"Sep 28, 2020","123.04","122.92","123.23","122.36","0.19%"
"Sep 25, 2020","122.81","123.03","123.18","122.60","-0.17%"
"Sep 24, 2020","123.02","122.89","123.18","122.57","0.14%"
"Sep 23, 2020","122.85","122.85","123.21","122.57","0.02%"
"Sep 22, 2020","122.82","123.18","123.31","122.64","-0.27%"
"Sep 21, 2020","123.15","123.89","123.96","122.50","-0.49%"
"Sep 18, 2020","123.76","124.10","124.32","123.42","-0.25%"
"Sep 17, 2020","124.07","124.01","124.15","123.28","0.07%"
"Sep 16, 2020","123.98","124.91","125.04","123.82","-0.70%"
"Sep 15, 2020","124.85","125.49","125.79","124.74","-0.49%"
"Sep 14, 2020","125.47","125.80","125.93","125.27","-0.22%"
"Sep 11, 2020","125.75","125.39","126.15","125.34","0.30%"
