"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2021","423.18","424.39","424.39","423.16","14.66M","-0.27%"
"Jun 11, 2021","424.31","424.20","424.40","422.83","45.57M","0.17%"
"Jun 10, 2021","423.61","422.98","424.61","421.62","51.02M","0.46%"
"Jun 09, 2021","421.65","423.19","423.22","421.44","48.44M","-0.15%"
"Jun 08, 2021","422.28","423.19","423.19","420.41","47.13M","0.02%"
"Jun 07, 2021","422.19","422.66","422.76","421.21","51.56M","-0.10%"
"Jun 04, 2021","422.60","420.75","422.92","418.84","55.94M","0.91%"
"Jun 03, 2021","418.77","418.00","419.99","416.29","58.14M","-0.37%"
"Jun 02, 2021","420.33","420.26","421.19","419.31","49.10M","0.16%"
"Jun 01, 2021","419.67","422.57","422.72","419.20","53.32M","-0.09%"
"May 28, 2021","420.04","421.01","421.25","419.82","58.52M","0.18%"
"May 27, 2021","419.29","420.16","420.70","419.13","56.71M","0.05%"
"May 26, 2021","419.07","418.98","419.59","417.77","43.09M","0.20%"
"May 25, 2021","418.24","420.31","420.69","417.63","57.45M","-0.22%"
"May 24, 2021","419.17","417.41","420.31","417.13","51.38M","1.02%"
"May 21, 2021","414.94","417.06","418.20","414.46","76.58M","-0.08%"
"May 20, 2021","415.28","411.77","416.60","411.70","78.02M","1.08%"
"May 19, 2021","410.86","406.79","410.95","405.38","106.47M","-0.26%"
"May 18, 2021","411.94","415.92","416.03","411.79","59.81M","-0.86%"
"May 17, 2021","415.52","416.58","416.58","413.41","65.13M","-0.25%"
"May 14, 2021","416.58","413.21","417.49","413.21","82.20M","1.54%"
"May 13, 2021","410.28","407.21","412.34","407.13","106.39M","1.20%"
"May 12, 2021","405.41","411.00","412.57","404.82","134.81M","-2.12%"
"May 11, 2021","414.21","412.75","415.23","410.15","116.89M","-0.89%"
"May 10, 2021","417.94","422.62","422.63","417.83","81.85M","-0.99%"
"May 07, 2021","422.12","419.96","422.81","419.18","67.73M","0.73%"
"May 06, 2021","419.07","415.80","419.21","413.69","74.32M","0.80%"
"May 05, 2021","415.75","417.38","417.63","415.15","39.96M","0.03%"
"May 04, 2021","415.62","416.07","416.60","411.67","101.59M","-0.62%"
"May 03, 2021","418.20","419.29","419.81","417.67","68.13M","0.22%"
"Apr 30, 2021","417.30","417.63","418.54","416.34","85.53M","-0.66%"
"Apr 29, 2021","420.06","420.32","420.72","416.44","78.54M","0.64%"
"Apr 28, 2021","417.40","417.81","419.01","416.90","51.24M","-0.03%"
"Apr 27, 2021","417.52","417.93","418.14","416.30","51.30M","-0.02%"
"Apr 26, 2021","417.61","417.44","418.22","416.81","52.18M","0.21%"
"Apr 23, 2021","416.74","412.87","418.25","412.81","73.28M","1.08%"
"Apr 22, 2021","412.27","415.86","416.78","411.17","97.58M","-0.91%"
"Apr 21, 2021","416.07","411.43","416.21","411.37","66.79M","0.95%"
"Apr 20, 2021","412.17","413.91","414.62","410.63","81.85M","-0.73%"
"Apr 19, 2021","415.21","417.26","417.26","413.80","78.50M","-0.49%"
"Apr 16, 2021","417.26","417.25","417.90","415.74","82.04M","0.33%"
"Apr 15, 2021","415.87","413.79","416.15","413.70","60.23M","1.07%"
"Apr 14, 2021","411.45","412.82","413.92","410.87","61.66M","-0.34%"
"Apr 13, 2021","412.86","411.56","413.52","411.14","56.55M","0.30%"
"Apr 12, 2021","411.64","410.84","411.92","410.21","56.70M","0.04%"
"Apr 09, 2021","411.49","408.39","411.63","408.31","61.10M","0.73%"
"Apr 08, 2021","408.52","407.94","408.56","406.95","57.86M","0.47%"
"Apr 07, 2021","406.59","405.99","406.94","405.48","55.84M","0.12%"
"Apr 06, 2021","406.12","405.78","407.22","405.45","62.02M","-0.06%"
"Apr 05, 2021","406.36","403.53","406.92","403.42","91.68M","1.44%"
"Apr 01, 2021","400.61","398.40","400.66","398.26","99.68M","1.08%"
"Mar 31, 2021","396.33","395.37","397.99","395.37","112.73M","0.41%"
"Mar 30, 2021","394.73","394.47","395.39","393.04","76.26M","-0.27%"
"Mar 29, 2021","395.78","394.48","396.74","392.82","108.11M","-0.05%"
"Mar 26, 2021","395.98","390.93","396.41","390.29","114.41M","1.61%"
"Mar 25, 2021","389.70","385.94","390.52","383.91","116.13M","0.56%"
"Mar 24, 2021","387.52","390.94","392.74","387.52","97.59M","-0.51%"
"Mar 23, 2021","389.50","391.93","393.44","388.66","90.69M","-0.79%"
"Mar 22, 2021","392.59","390.23","394.01","390.01","73.78M","0.80%"
"Mar 19, 2021","389.48","389.88","391.57","387.15","113.62M","-0.51%"
"Mar 18, 2021","391.48","394.52","396.72","390.92","115.35M","-1.45%"
"Mar 17, 2021","397.26","394.53","398.07","393.32","97.96M","0.34%"
"Mar 16, 2021","395.91","397.18","397.81","395.09","73.72M","-0.13%"
"Mar 15, 2021","396.41","394.31","396.68","392.05","73.59M","0.60%"
"Mar 12, 2021","394.06","392.00","394.20","391.21","64.65M","0.13%"
"Mar 11, 2021","393.53","392.26","395.63","391.75","86.25M","1.01%"
"Mar 10, 2021","389.58","389.74","391.38","388.20","109.90M","0.62%"
"Mar 09, 2021","387.17","385.99","389.91","385.36","113.63M","1.43%"
"Mar 08, 2021","381.72","384.57","387.66","381.46","123.15M","-0.50%"
"Mar 05, 2021","383.63","380.46","384.76","372.64","152.04M","1.84%"
"Mar 04, 2021","376.70","381.22","384.00","371.88","179.62M","-1.24%"
"Mar 03, 2021","381.42","385.79","386.83","381.31","116.69M","-1.32%"
"Mar 02, 2021","386.54","389.82","390.07","386.00","78.30M","-0.78%"
"Mar 01, 2021","389.58","385.59","390.92","380.57","104.23M","2.42%"
"Feb 26, 2021","380.36","384.35","385.58","378.23","152.70M","-0.52%"
"Feb 25, 2021","382.33","390.41","391.88","380.78","145.10M","-2.41%"
"Feb 24, 2021","391.77","386.33","392.23","385.27","72.43M","1.10%"
"Feb 23, 2021","387.50","384.66","388.95","380.20","106.18M","0.12%"
"Feb 22, 2021","387.03","387.06","389.62","386.74","66.65M","-0.77%"
"Feb 19, 2021","390.03","392.07","392.38","389.55","83.24M","-0.18%"
"Feb 18, 2021","390.72","389.59","391.52","387.74","59.35M","-0.43%"
"Feb 17, 2021","392.39","390.42","392.66","389.33","51.97M","0.02%"
"Feb 16, 2021","392.30","393.96","394.17","391.53","50.36M","-0.09%"
"Feb 12, 2021","392.64","389.85","392.90","389.77","50.59M","0.49%"
"Feb 11, 2021","390.71","391.24","391.69","388.10","42.25M","0.16%"
"Feb 10, 2021","390.08","392.12","392.28","387.50","58.53M","-0.04%"
"Feb 09, 2021","390.25","389.61","390.89","389.17","34.85M","-0.07%"
"Feb 08, 2021","390.51","389.27","390.56","388.35","37.53M","0.72%"
"Feb 05, 2021","387.71","388.20","388.47","386.14","48.67M","0.39%"
"Feb 04, 2021","386.19","382.96","386.24","381.97","46.44M","1.14%"
"Feb 03, 2021","381.85","382.43","383.70","380.48","50.83M","0.08%"
"Feb 02, 2021","381.55","379.65","383.22","376.32","63.26M","1.41%"
"Feb 01, 2021","376.23","373.72","377.34","370.38","74.87M","1.66%"
"Jan 29, 2021","370.07","375.63","376.67","368.27","126.77M","-2.00%"
"Jan 28, 2021","377.63","376.36","381.93","375.89","91.82M","0.86%"
"Jan 27, 2021","374.41","380.22","380.32","372.01","120.35M","-2.44%"
"Jan 26, 2021","383.79","385.41","385.85","383.54","41.44M","-0.16%"
"Jan 25, 2021","384.39","383.67","384.77","378.46","69.88M","0.39%"
"Jan 22, 2021","382.88","382.25","384.13","381.83","52.14M","-0.35%"
"Jan 21, 2021","384.24","384.49","384.95","383.25","47.20M","0.09%"
"Jan 20, 2021","383.89","381.11","384.79","380.69","61.03M","1.38%"
"Jan 19, 2021","378.65","378.34","379.23","376.75","50.79M","0.79%"
"Jan 15, 2021","375.70","376.72","377.58","373.70","107.16M","-0.73%"
"Jan 14, 2021","378.46","380.59","381.13","378.10","48.69M","-0.35%"
"Jan 13, 2021","379.79","378.69","380.86","377.85","44.55M","0.27%"
"Jan 12, 2021","378.77","378.89","379.86","376.36","51.68M","0.02%"
"Jan 11, 2021","378.69","377.85","380.58","377.72","50.68M","-0.67%"
"Jan 08, 2021","381.26","380.59","381.49","377.10","71.68M","0.57%"
"Jan 07, 2021","379.10","376.10","379.90","375.91","66.75M","1.49%"
"Jan 06, 2021","373.55","369.71","376.98","369.12","102.12M","0.60%"
"Jan 05, 2021","371.33","368.10","372.50","368.05","65.33M","0.69%"
"Jan 04, 2021","368.79","375.31","375.45","364.82","106.39M","-1.36%"
"Dec 31, 2020","373.88","371.78","374.66","371.23","78.52M","0.51%"
"Dec 30, 2020","371.99","372.34","373.10","371.57","49.14M","0.14%"
"Dec 29, 2020","371.46","373.81","374.00","370.83","53.13M","-0.19%"
"Dec 28, 2020","372.17","371.74","372.59","371.07","38.68M","0.86%"
"Dec 24, 2020","369.00","368.08","369.03","367.45","26.46M","0.39%"
"Dec 23, 2020","367.57","368.28","369.62","367.22","44.58M","0.09%"
"Dec 22, 2020","367.24","368.21","368.33","366.03","46.47M","-0.17%"
"Dec 21, 2020","367.86","364.97","378.46","362.03","92.56M","-0.36%"
"Dec 18, 2020","369.18","370.97","371.15","367.02","136.54M","-0.82%"
"Dec 17, 2020","372.24","371.94","372.46","371.05","62.66M","0.56%"
"Dec 16, 2020","370.17","369.82","371.16","368.87","57.28M","0.16%"
"Dec 15, 2020","369.59","367.40","369.59","365.92","63.22M","1.35%"
"Dec 14, 2020","364.66","368.64","369.80","364.47","68.26M","-0.45%"
"Dec 11, 2020","366.30","364.90","366.74","363.26","57.70M","-0.12%"
"Dec 10, 2020","366.73","365.37","367.86","364.43","55.62M","-0.03%"
"Dec 09, 2020","366.85","370.88","371.05","365.95","72.00M","-0.90%"
"Dec 08, 2020","370.17","367.72","370.78","367.67","41.62M","0.29%"
"Dec 07, 2020","369.09","369.02","369.62","367.72","46.97M","-0.21%"
"Dec 04, 2020","369.85","367.32","369.85","367.22","50.75M","0.86%"
"Dec 03, 2020","366.69","366.68","368.19","365.50","62.10M","-0.03%"
"Dec 02, 2020","366.79","364.82","366.96","364.20","43.71M","0.21%"
"Dec 01, 2020","366.02","365.57","367.68","364.93","73.07M","1.09%"
"Nov 30, 2020","362.06","362.83","363.12","359.17","80.85M","-0.44%"
"Nov 27, 2020","363.67","363.84","364.18","362.58","28.51M","0.28%"
"Nov 25, 2020","362.66","363.13","363.16","361.48","45.33M","-0.15%"
"Nov 24, 2020","363.22","360.21","363.81","359.29","61.29M","1.61%"
"Nov 23, 2020","357.46","357.28","358.82","354.86","61.33M","0.60%"
"Nov 20, 2020","355.33","357.50","357.72","355.25","70.41M","-0.68%"
"Nov 19, 2020","357.78","355.60","358.18","354.15","58.03M","0.42%"
"Nov 18, 2020","356.28","360.91","361.50","356.24","67.24M","-1.20%"
"Nov 17, 2020","360.62","359.97","361.92","358.34","65.16M","-0.54%"
"Nov 16, 2020","362.57","360.98","362.78","359.59","73.45M","1.25%"
"Nov 13, 2020","358.10","355.27","358.90","354.71","62.96M","1.38%"
"Nov 12, 2020","353.21","355.58","356.72","351.26","66.63M","-0.97%"
"Nov 11, 2020","356.67","356.40","357.56","355.06","57.81M","0.74%"
"Nov 10, 2020","354.04","353.49","355.18","350.51","83.91M","-0.15%"
"Nov 09, 2020","354.56","363.97","364.38","354.06","170.08M","1.26%"
"Nov 06, 2020","350.16","349.93","351.51","347.65","74.97M","-0.02%"
"Nov 05, 2020","350.24","349.24","352.19","348.86","80.78M","1.95%"
"Nov 04, 2020","343.54","340.86","347.94","339.59","125.93M","2.23%"
"Nov 03, 2020","336.03","333.69","338.25","330.29","89.72M","1.77%"
"Nov 02, 2020","330.20","330.20","332.36","327.24","86.07M","1.12%"
"Oct 30, 2020","326.54","328.28","329.69","322.60","120.45M","-1.04%"
"Oct 29, 2020","329.98","326.91","333.39","325.09","89.17M","1.02%"
"Oct 28, 2020","326.66","332.10","338.25","326.13","125.70M","-3.42%"
