"Date","Price","Open","High","Low","Change %"
"Dec 23, 2020","1.7330","1.7248","1.7440","1.7233","0.50%"
"Dec 22, 2020","1.7244","1.7311","1.7319","1.7202","-0.35%"
"Dec 21, 2020","1.7305","1.7272","1.7321","1.7047","0.13%"
"Dec 18, 2020","1.7283","1.7284","1.7306","1.7190","0.05%"
"Dec 17, 2020","1.7275","1.7217","1.7341","1.7193","0.37%"
"Dec 16, 2020","1.7212","1.7092","1.7295","1.7062","0.71%"
"Dec 15, 2020","1.7091","1.7010","1.7134","1.6944","0.54%"
"Dec 14, 2020","1.6999","1.6892","1.7135","1.6892","0.68%"
"Dec 11, 2020","1.6884","1.6938","1.6968","1.6768","-0.28%"
"Dec 10, 2020","1.6931","1.7172","1.7196","1.6866","-1.37%"
"Dec 09, 2020","1.7166","1.7117","1.7225","1.7085","0.32%"
"Dec 08, 2020","1.7111","1.7121","1.7148","1.7006","-0.03%"
"Dec 07, 2020","1.7116","1.7197","1.7197","1.6963","-0.33%"
"Dec 04, 2020","1.7172","1.7295","1.7359","1.7143","-0.68%"
"Dec 03, 2020","1.7290","1.7267","1.7404","1.7249","0.17%"
"Dec 02, 2020","1.7261","1.7351","1.7379","1.7194","-0.50%"
"Dec 01, 2020","1.7348","1.7325","1.7412","1.7268","0.18%"
"Nov 30, 2020","1.7317","1.7292","1.7351","1.7253","0.13%"
"Nov 27, 2020","1.7295","1.7384","1.7409","1.7251","-0.48%"
"Nov 26, 2020","1.7379","1.7407","1.7419","1.7327","-0.10%"
"Nov 25, 2020","1.7397","1.7364","1.7421","1.7315","0.18%"
"Nov 24, 2020","1.7365","1.7428","1.7439","1.7352","-0.33%"
"Nov 23, 2020","1.7422","1.7376","1.7501","1.7371","0.16%"
"Nov 20, 2020","1.7394","1.7337","1.7409","1.7306","0.35%"
"Nov 19, 2020","1.7333","1.7368","1.7383","1.7282","-0.14%"
"Nov 18, 2020","1.7357","1.7356","1.7416","1.7308","0.05%"
"Nov 17, 2020","1.7348","1.7255","1.7389","1.7242","0.61%"
"Nov 16, 2020","1.7243","1.7324","1.7354","1.7209","-0.42%"
"Nov 13, 2020","1.7315","1.7239","1.7363","1.7225","0.49%"
"Nov 12, 2020","1.7230","1.7269","1.7305","1.7185","-0.23%"
"Nov 11, 2020","1.7269","1.7296","1.7351","1.7222","-0.10%"
"Nov 10, 2020","1.7287","1.7121","1.7311","1.7104","0.99%"
"Nov 09, 2020","1.7118","1.7183","1.7207","1.7023","-0.33%"
"Nov 06, 2020","1.7175","1.7148","1.7200","1.7105","0.18%"
"Nov 05, 2020","1.7144","1.7068","1.7170","1.6981","0.47%"
"Nov 04, 2020","1.7064","1.7150","1.7230","1.7023","-0.47%"
"Nov 03, 2020","1.7145","1.7075","1.7188","1.7055","0.46%"
"Nov 02, 2020","1.7067","1.7245","1.7285","1.7062","-0.97%"
"Oct 30, 2020","1.7234","1.7224","1.7289","1.7183","0.08%"
"Oct 29, 2020","1.7221","1.7306","1.7355","1.7205","-0.43%"
"Oct 28, 2020","1.7295","1.7200","1.7328","1.7150","0.58%"
"Oct 27, 2020","1.7196","1.7203","1.7215","1.7146","-0.02%"
"Oct 26, 2020","1.7199","1.7123","1.7226","1.7113","0.52%"
"Oct 23, 2020","1.7110","1.7183","1.7222","1.7106","-0.39%"
"Oct 22, 2020","1.7177","1.7289","1.7311","1.7169","-0.61%"
"Oct 21, 2020","1.7282","1.6991","1.7291","1.6979","1.71%"
"Oct 20, 2020","1.6992","1.7089","1.7114","1.6955","-0.52%"
"Oct 19, 2020","1.7080","1.7049","1.7150","1.7005","0.32%"
"Oct 16, 2020","1.7026","1.7076","1.7120","1.6984","-0.26%"
"Oct 15, 2020","1.7070","1.7104","1.7138","1.7038","-0.19%"
"Oct 14, 2020","1.7103","1.6995","1.7166","1.6903","0.66%"
"Oct 13, 2020","1.6991","1.7131","1.7152","1.6976","-0.79%"
"Oct 12, 2020","1.7126","1.7133","1.7150","1.7079","0.07%"
"Oct 09, 2020","1.7114","1.7070","1.7132","1.7013","0.29%"
"Oct 08, 2020","1.7064","1.7126","1.7183","1.7062","-0.33%"
"Oct 07, 2020","1.7120","1.7141","1.7194","1.7060","-0.09%"
"Oct 06, 2020","1.7135","1.7220","1.7250","1.7126","-0.46%"
"Oct 05, 2020","1.7214","1.7211","1.7239","1.7128","-0.01%"
"Oct 02, 2020","1.7215","1.7133","1.7249","1.7089","0.52%"
"Oct 01, 2020","1.7126","1.7204","1.7254","1.7043","-0.44%"
"Sep 30, 2020","1.7202","1.7223","1.7298","1.7155","-0.09%"
"Sep 29, 2020","1.7217","1.7160","1.7270","1.7154","0.33%"
"Sep 28, 2020","1.7160","1.7064","1.7276","1.7061","0.60%"
"Sep 25, 2020","1.7058","1.7045","1.7089","1.6988","0.14%"
"Sep 24, 2020","1.7035","1.7033","1.7120","1.7004","0.04%"
"Sep 23, 2020","1.7028","1.6940","1.7066","1.6901","0.58%"
"Sep 22, 2020","1.6930","1.7055","1.7108","1.6919","-0.70%"
"Sep 21, 2020","1.7050","1.7067","1.7106","1.6974","-0.02%"
"Sep 18, 2020","1.7053","1.7081","1.7122","1.7032","-0.11%"
"Sep 17, 2020","1.7072","1.7086","1.7161","1.6977","-0.06%"
"Sep 16, 2020","1.7083","1.6991","1.7140","1.6964","0.58%"
"Sep 15, 2020","1.6985","1.6927","1.7013","1.6880","0.37%"
"Sep 14, 2020","1.6923","1.6881","1.7011","1.6843","0.42%"
"Sep 11, 2020","1.6853","1.6886","1.6937","1.6806","-0.20%"
"Sep 10, 2020","1.6887","1.7089","1.7156","1.6849","-1.15%"
"Sep 09, 2020","1.7083","1.7183","1.7201","1.7038","-0.55%"
"Sep 08, 2020","1.7178","1.7249","1.7266","1.7131","-0.37%"
"Sep 07, 2020","1.7242","1.7332","1.7348","1.7203","-0.59%"
"Sep 04, 2020","1.7345","1.7434","1.7443","1.7294","-0.48%"
"Sep 03, 2020","1.7429","1.7419","1.7450","1.7349","0.11%"
"Sep 02, 2020","1.7410","1.7484","1.7513","1.7361","-0.38%"
"Sep 01, 2020","1.7477","1.7438","1.7565","1.7405","0.21%"
"Aug 31, 2020","1.7440","1.7461","1.7497","1.7376","-0.25%"
"Aug 28, 2020","1.7483","1.7327","1.7502","1.7309","0.94%"
"Aug 27, 2020","1.7321","1.7356","1.7415","1.7297","-0.19%"
"Aug 26, 2020","1.7354","1.7321","1.7382","1.7299","0.20%"
"Aug 25, 2020","1.7320","1.7273","1.7364","1.7252","0.32%"
"Aug 24, 2020","1.7264","1.7241","1.7305","1.7212","0.13%"
"Aug 21, 2020","1.7242","1.7424","1.7452","1.7239","-1.00%"
"Aug 20, 2020","1.7416","1.7312","1.7428","1.7270","0.64%"
"Aug 19, 2020","1.7306","1.7435","1.7454","1.7291","-0.70%"
"Aug 18, 2020","1.7428","1.7311","1.7459","1.7301","0.66%"
"Aug 17, 2020","1.7313","1.7363","1.7385","1.7275","-0.25%"
"Aug 14, 2020","1.7357","1.7267","1.7401","1.7254","0.51%"
"Aug 13, 2020","1.7269","1.7265","1.7342","1.7235","0.05%"
"Aug 12, 2020","1.7260","1.7363","1.7394","1.7247","-0.54%"
"Aug 11, 2020","1.7354","1.7451","1.7471","1.7341","-0.54%"
"Aug 10, 2020","1.7448","1.7463","1.7508","1.7427","-0.10%"
"Aug 07, 2020","1.7466","1.7501","1.7534","1.7414","-0.13%"
"Aug 06, 2020","1.7489","1.7397","1.7528","1.7391","0.56%"
"Aug 05, 2020","1.7392","1.7409","1.7457","1.7347","-0.07%"
"Aug 04, 2020","1.7404","1.7508","1.7530","1.7404","-0.56%"
"Aug 03, 2020","1.7502","1.7532","1.7594","1.7454","-0.26%"
"Jul 31, 2020","1.7548","1.7582","1.7679","1.7508","-0.14%"
"Jul 30, 2020","1.7573","1.7341","1.7613","1.7309","1.37%"
"Jul 29, 2020","1.7335","1.7301","1.7367","1.7263","0.21%"
"Jul 28, 2020","1.7298","1.7205","1.7349","1.7174","0.56%"
"Jul 27, 2020","1.7201","1.7145","1.7266","1.7143","0.27%"
"Jul 24, 2020","1.7154","1.7088","1.7184","1.7057","0.43%"
"Jul 23, 2020","1.7080","1.7085","1.7099","1.6976","0.00%"
"Jul 22, 2020","1.7080","1.7135","1.7140","1.7031","-0.29%"
"Jul 21, 2020","1.7129","1.7133","1.7163","1.7054","-0.02%"
"Jul 20, 2020","1.7133","1.7061","1.7153","1.7007","0.44%"
"Jul 17, 2020","1.7058","1.7035","1.7079","1.6983","0.17%"
"Jul 16, 2020","1.7029","1.7000","1.7091","1.6937","0.21%"
"Jul 15, 2020","1.6993","1.7089","1.7163","1.6988","-0.51%"
"Jul 14, 2020","1.7080","1.7088","1.7109","1.7003","-0.01%"
"Jul 13, 2020","1.7081","1.7144","1.7184","1.7072","-0.41%"
"Jul 10, 2020","1.7152","1.7125","1.7212","1.7102","0.17%"
"Jul 09, 2020","1.7123","1.7040","1.7151","1.7027","0.51%"
"Jul 08, 2020","1.7036","1.7062","1.7093","1.7017","-0.12%"
"Jul 07, 2020","1.7057","1.6911","1.7106","1.6897","0.88%"
"Jul 06, 2020","1.6908","1.6921","1.6961","1.6883","0.00%"
"Jul 03, 2020","1.6908","1.6911","1.6938","1.6873","0.01%"
"Jul 02, 2020","1.6906","1.6948","1.7030","1.6905","-0.19%"
"Jul 01, 2020","1.6939","1.6836","1.6971","1.6773","0.65%"
"Jun 30, 2020","1.6829","1.6798","1.6866","1.6767","0.21%"
"Jun 29, 2020","1.6793","1.6887","1.6918","1.6782","-0.52%"
"Jun 26, 2020","1.6881","1.6932","1.6961","1.6846","-0.28%"
"Jun 25, 2020","1.6928","1.6940","1.6990","1.6901","-0.03%"
"Jun 24, 2020","1.6933","1.6961","1.7007","1.6869","-0.12%"
"Jun 23, 2020","1.6954","1.6852","1.6975","1.6820","0.64%"
"Jun 22, 2020","1.6847","1.6804","1.6884","1.6787","0.23%"
"Jun 19, 2020","1.6808","1.6901","1.6930","1.6748","-0.51%"
"Jun 18, 2020","1.6895","1.7035","1.7059","1.6830","-0.78%"
"Jun 17, 2020","1.7027","1.7026","1.7044","1.6964","-0.01%"
"Jun 16, 2020","1.7028","1.7106","1.7179","1.7018","-0.42%"
"Jun 15, 2020","1.7100","1.7024","1.7149","1.7016","0.39%"
"Jun 12, 2020","1.7033","1.7170","1.7182","1.6990","-0.77%"
"Jun 11, 2020","1.7166","1.7096","1.7181","1.7048","0.43%"
"Jun 10, 2020","1.7092","1.7081","1.7142","1.7043","0.12%"
"Jun 09, 2020","1.7072","1.7028","1.7121","1.7003","0.28%"
"Jun 08, 2020","1.7025","1.7026","1.7069","1.6924","0.15%"
"Jun 05, 2020","1.6999","1.7019","1.7091","1.6956","0.00%"
"Jun 04, 2020","1.6999","1.6969","1.7050","1.6875","0.20%"
"Jun 03, 2020","1.6965","1.6964","1.7069","1.6956","0.03%"
"Jun 02, 2020","1.6960","1.6959","1.7013","1.6903","0.04%"
"Jun 01, 2020","1.6953","1.6992","1.7034","1.6932","-0.25%"
"May 29, 2020","1.6996","1.6956","1.7124","1.6904","0.27%"
"May 28, 2020","1.6951","1.6845","1.6995","1.6842","0.64%"
"May 27, 2020","1.6844","1.6990","1.7025","1.6840","-0.85%"
"May 26, 2020","1.6988","1.7047","1.7120","1.6972","-0.28%"
"May 25, 2020","1.7035","1.7048","1.7069","1.7019","-0.01%"
"May 22, 2020","1.7036","1.7056","1.7129","1.7010","-0.09%"
"May 21, 2020","1.7052","1.7016","1.7097","1.6968","0.24%"
"May 20, 2020","1.7012","1.7082","1.7106","1.6978","-0.39%"
"May 19, 2020","1.7079","1.6993","1.7091","1.6982","0.52%"
"May 18, 2020","1.6990","1.7042","1.7105","1.6990","-0.50%"
"May 15, 2020","1.7076","1.7182","1.7196","1.7049","-0.58%"
"May 14, 2020","1.7175","1.7247","1.7262","1.7150","-0.39%"
"May 13, 2020","1.7242","1.7260","1.7299","1.7167","-0.09%"
"May 12, 2020","1.7257","1.7284","1.7318","1.7205","-0.05%"
"May 11, 2020","1.7265","1.7278","1.7335","1.7200","-0.07%"
"May 08, 2020","1.7277","1.7274","1.7368","1.7227","0.05%"
"May 07, 2020","1.7268","1.7461","1.7505","1.7205","-1.07%"
"May 06, 2020","1.7454","1.7469","1.7511","1.7370","-0.05%"
"May 05, 2020","1.7462","1.7526","1.7543","1.7434","-0.34%"
"May 04, 2020","1.7522","1.7606","1.7625","1.7474","-0.49%"
"May 01, 2020","1.7609","1.7569","1.7708","1.7537","0.31%"
"Apr 30, 2020","1.7555","1.7307","1.7568","1.7258","1.46%"
"Apr 29, 2020","1.7303","1.7393","1.7415","1.7271","-0.45%"
"Apr 28, 2020","1.7381","1.7443","1.7493","1.7366","-0.31%"
"Apr 27, 2020","1.7435","1.7450","1.7514","1.7419","-0.03%"
"Apr 24, 2020","1.7440","1.7371","1.7451","1.7328","0.35%"
"Apr 23, 2020","1.7379","1.7466","1.7509","1.7329","-0.47%"
"Apr 22, 2020","1.7461","1.7470","1.7522","1.7399","-0.02%"
"Apr 21, 2020","1.7465","1.7596","1.7631","1.7384","-0.73%"
"Apr 20, 2020","1.7593","1.7517","1.7605","1.7462","0.55%"
"Apr 17, 2020","1.7496","1.7543","1.7598","1.7493","-0.22%"
"Apr 16, 2020","1.7535","1.7665","1.7686","1.7536","-0.70%"
"Apr 15, 2020","1.7659","1.7527","1.7701","1.7481","0.78%"
"Apr 14, 2020","1.7522","1.7396","1.7583","1.7359","0.78%"
"Apr 13, 2020","1.7387","1.7372","1.7502","1.7332","0.08%"
"Apr 10, 2020","1.7373","1.7410","1.7456","1.7375","-0.17%"
"Apr 09, 2020","1.7403","1.7360","1.7485","1.7345","0.29%"
"Apr 08, 2020","1.7353","1.7269","1.7451","1.7243","0.59%"
"Apr 07, 2020","1.7252","1.7257","1.7343","1.7176","-0.01%"
"Apr 06, 2020","1.7254","1.7408","1.7474","1.7241","-0.90%"
"Apr 03, 2020","1.7410","1.7522","1.7562","1.7261","-0.61%"
"Apr 02, 2020","1.7516","1.7565","1.7696","1.7451","-0.27%"
"Apr 01, 2020","1.7563","1.7462","1.7692","1.7442","0.60%"
"Mar 31, 2020","1.7458","1.7587","1.7800","1.7388","-0.73%"
"Mar 30, 2020","1.7587","1.7419","1.7618","1.7344","1.02%"
"Mar 27, 2020","1.7410","1.7104","1.7493","1.7038","1.81%"
"Mar 26, 2020","1.7101","1.6870","1.7190","1.6754","1.45%"
"Mar 25, 2020","1.6856","1.7009","1.7176","1.6693","-0.84%"
"Mar 24, 2020","1.6999","1.6744","1.7106","1.6693","1.55%"
"Mar 23, 2020","1.6740","1.6731","1.6926","1.6611","0.13%"
"Mar 20, 2020","1.6719","1.6670","1.7003","1.6544","0.32%"
"Mar 19, 2020","1.6665","1.6846","1.7035","1.6651","-1.10%"
"Mar 18, 2020","1.6850","1.7115","1.7265","1.6631","-1.52%"
"Mar 17, 2020","1.7110","1.7200","1.7226","1.6996","-0.48%"
"Mar 16, 2020","1.7192","1.6991","1.7219","1.6975","1.45%"
"Mar 13, 2020","1.6946","1.7512","1.7556","1.6927","-3.17%"
"Mar 12, 2020","1.7501","1.7660","1.7744","1.7260","-0.91%"
"Mar 11, 2020","1.7661","1.7709","1.7819","1.7601","-0.28%"
"Mar 10, 2020","1.7710","1.7992","1.8002","1.7682","-1.56%"
"Mar 09, 2020","1.7991","1.7563","1.8051","1.7563","2.73%"
"Mar 06, 2020","1.7513","1.7384","1.7532","1.7336","0.74%"
"Mar 05, 2020","1.7385","1.7229","1.7400","1.7219","0.93%"
"Mar 04, 2020","1.7225","1.7150","1.7257","1.7045","0.46%"
"Mar 03, 2020","1.7146","1.6990","1.7162","1.6976","0.94%"
"Mar 02, 2020","1.6986","1.7196","1.7236","1.6981","-1.09%"
"Feb 28, 2020","1.7174","1.7253","1.7380","1.7091","-0.43%"
"Feb 27, 2020","1.7249","1.7203","1.7264","1.7142","0.28%"
"Feb 26, 2020","1.7200","1.7271","1.7289","1.7147","-0.38%"
"Feb 25, 2020","1.7265","1.7191","1.7298","1.7164","0.52%"
"Feb 24, 2020","1.7176","1.7170","1.7205","1.7119","0.13%"
"Feb 21, 2020","1.7153","1.7083","1.7178","1.7063","0.45%"
"Feb 20, 2020","1.7076","1.7083","1.7129","1.7017","0.00%"
"Feb 19, 2020","1.7076","1.7240","1.7243","1.7074","-0.89%"
"Feb 18, 2020","1.7230","1.7214","1.7308","1.7184","0.10%"
"Feb 17, 2020","1.7212","1.7277","1.7295","1.7199","-0.45%"
"Feb 14, 2020","1.7289","1.7310","1.7316","1.7219","-0.10%"
"Feb 13, 2020","1.7307","1.7172","1.7326","1.7151","0.79%"
"Feb 12, 2020","1.7171","1.7210","1.7240","1.7162","-0.21%"
"Feb 11, 2020","1.7207","1.7199","1.7238","1.7142","0.07%"
"Feb 10, 2020","1.7195","1.7158","1.7251","1.7112","0.21%"
"Feb 07, 2020","1.7159","1.7176","1.7255","1.7133","-0.09%"
"Feb 06, 2020","1.7174","1.7268","1.7277","1.7164","-0.50%"
"Feb 05, 2020","1.7261","1.7295","1.7357","1.7220","-0.17%"
"Feb 04, 2020","1.7291","1.7266","1.7326","1.7192","0.18%"
"Feb 03, 2020","1.7260","1.7490","1.7490","1.7230","-1.20%"
"Jan 31, 2020","1.7469","1.7303","1.7483","1.7273","1.01%"
"Jan 30, 2020","1.7295","1.7187","1.7337","1.7151","0.66%"
"Jan 29, 2020","1.7181","1.7139","1.7193","1.7121","0.26%"
"Jan 28, 2020","1.7137","1.7226","1.7236","1.7098","-0.48%"
"Jan 27, 2020","1.7220","1.7189","1.7277","1.7176","0.21%"
"Jan 24, 2020","1.7184","1.7222","1.7286","1.7154","-0.19%"
"Jan 23, 2020","1.7217","1.7263","1.7308","1.7202","-0.24%"
"Jan 22, 2020","1.7258","1.7056","1.7279","1.7045","1.21%"
"Jan 21, 2020","1.7051","1.6980","1.7088","1.6956","0.47%"
"Jan 20, 2020","1.6972","1.6989","1.6999","1.6939","-0.12%"
"Jan 17, 2020","1.6992","1.7059","1.7111","1.6993","-0.35%"
"Jan 16, 2020","1.7051","1.7004","1.7067","1.6989","0.30%"
"Jan 15, 2020","1.7000","1.7004","1.7035","1.6977","0.01%"
"Jan 14, 2020","1.6998","1.6961","1.7020","1.6926","0.25%"
"Jan 13, 2020","1.6955","1.7046","1.7056","1.6918","-0.51%"
"Jan 10, 2020","1.7042","1.7055","1.7110","1.7010","-0.05%"
"Jan 09, 2020","1.7051","1.7081","1.7116","1.6983","-0.16%"
"Jan 08, 2020","1.7078","1.7069","1.7124","1.7024","0.09%"
"Jan 07, 2020","1.7063","1.7069","1.7129","1.7016","-0.03%"
"Jan 06, 2020","1.7068","1.6987","1.7091","1.6961","0.34%"
"Jan 03, 2020","1.7010","1.7062","1.7087","1.6961","-0.30%"
"Jan 02, 2020","1.7061","1.7213","1.7216","1.7045","-0.88%"
"Jan 01, 2020","1.7212","1.7234","1.7253","1.7188","-0.08%"
"Dec 31, 2019","1.7225","1.7138","1.7233","1.7102","0.55%"
"Dec 30, 2019","1.7131","1.7083","1.7191","1.7083","0.19%"
"Dec 27, 2019","1.7098","1.7053","1.7170","1.6997","0.30%"
"Dec 26, 2019","1.7047","1.7057","1.7101","1.7026","-0.05%"
"Dec 25, 2019","1.7055","1.7044","1.7093","1.7003","0.08%"
"Dec 24, 2019","1.7041","1.7004","1.7070","1.6997","0.25%"
"Dec 23, 2019","1.6998","1.7084","1.7140","1.6987","-0.55%"
"Dec 20, 2019","1.7092","1.7076","1.7230","1.7064","0.12%"
"Dec 19, 2019","1.7072","1.7148","1.7229","1.7053","-0.44%"
"Dec 18, 2019","1.7147","1.7279","1.7285","1.7121","-0.74%"
"Dec 17, 2019","1.7274","1.7536","1.7553","1.7225","-1.45%"
"Dec 16, 2019","1.7528","1.7564","1.7655","1.7488","-0.08%"
"Dec 13, 2019","1.7542","1.7360","1.7796","1.7349","1.11%"
"Dec 12, 2019","1.7350","1.7392","1.7416","1.7207","-0.16%"
"Dec 11, 2019","1.7377","1.7407","1.7444","1.7342","-0.11%"
"Dec 10, 2019","1.7396","1.7400","1.7490","1.7367","-0.01%"
"Dec 09, 2019","1.7397","1.7415","1.7474","1.7380","-0.07%"
"Dec 06, 2019","1.7410","1.7329","1.7432","1.7272","0.47%"
"Dec 05, 2019","1.7329","1.7299","1.7354","1.7272","0.20%"
"Dec 04, 2019","1.7295","1.7276","1.7399","1.7257","0.13%"
"Dec 03, 2019","1.7272","1.7214","1.7324","1.7184","0.36%"
"Dec 02, 2019","1.7210","1.7156","1.7228","1.7127","0.24%"
"Nov 29, 2019","1.7169","1.7145","1.7204","1.7116","0.16%"
"Nov 28, 2019","1.7142","1.7162","1.7218","1.7133","-0.10%"
"Nov 27, 2019","1.7160","1.7077","1.7167","1.7019","0.52%"
"Nov 26, 2019","1.7071","1.7155","1.7176","1.7054","-0.46%"
"Nov 25, 2019","1.7150","1.7067","1.7191","1.7067","0.50%"
"Nov 22, 2019","1.7065","1.7158","1.7177","1.7039","-0.52%"
"Nov 21, 2019","1.7155","1.7191","1.7275","1.7117","-0.20%"
"Nov 20, 2019","1.7190","1.7150","1.7230","1.7124","0.28%"
"Nov 19, 2019","1.7142","1.7106","1.7162","1.7066","0.22%"
"Nov 18, 2019","1.7104","1.7054","1.7161","1.7047","0.29%"
"Nov 15, 2019","1.7054","1.7064","1.7100","1.7021","-0.05%"
"Nov 14, 2019","1.7062","1.7028","1.7090","1.6997","0.22%"
"Nov 13, 2019","1.7024","1.7002","1.7061","1.6977","0.18%"
"Nov 12, 2019","1.6994","1.7011","1.7037","1.6968","-0.05%"
"Nov 11, 2019","1.7003","1.6894","1.7059","1.6891","0.66%"
